Current Name,Suggested Canonical Name,Status,corrected_Name,Source
Shandila,Sandilya,Review,Sandilya,Column B
Sharadhata,Saradvata,Review,Saradvata,Column B
Shounaka,Shunaka,Review,Shunaka,Column B
Shounhotra,Shounhotra,OK,Shaunahotra,Manual
Shunahotra,Saunahotra,Review,Saunahotra,Column B
Shunaka,Shunaka,OK,OK,OK
Somarajya,Somarajya,OK,OK,OK
Somavaha,Somavaha,OK,OK,OK
Syavasva,Syavasva,OK,Shyavashva,Manual
Tarksya,Tarksya,OK,Tarkshya,Manual
Trasadasva,Trasadasva,OK,OK,OK
Trasadasyu,Trasadasyu,OK,OK,OK
Urukshaya,Urukshaya,OK,OK,OK
Utathya,Utathya,OK,OK,OK
Vaadhyashwa,Vadhryashva,Review,Vadhryashva,Column B
Vaatsya,Vaatsya,OK,OK,OK
Vadhryashva,Vadhryashva,OK,OK,OK
Vaida,Vaida,OK,OK,OK
Vainya,Vainya,OK,OK,OK
Vairupa,Vairupa,OK,OK,OK
Vaitahavya,Veetahavya,Review,Vaitahavya,Column A
Vamadeva,Vamadeva,OK,OK,OK
Vamadeya,Vamadeva,Review,Vamadeva,Column B
Vamarathya,Vamarathya,OK,OK,OK
Vandana,Vandana,OK,OK,OK
Vara,Vara,OK,OK,OK
Vashishta,Vashishta,OK,Vasishtha,Manual
Vathyashva,Vadhryashva,Review,Vadhryashva,Column B
Veda Vaishwa,Veda Vaishwa,OK,OK,OK
Veetahavya,Veetahavya,OK,Vitahavya,Manual
Visvamitra,Visvamitra,OK,Vishvamitra,Manual
Yagnavaaha,Yajnavaha,Review,Yajnavaha,Column B
Yajnavaha,Yajnavaha,OK,OK,OK
Yauvanashva,Yauvanashva,OK,OK,OK
Yuvanasva,Yauvanashva,Review,Yauvanashva,Column B
